employee,reader,start,end,delta,success
1,14,2022-06-19T19:11:55Z,2022-06-19T19:11:55Z,258.899ms,True
1,1,2022-06-19T19:11:55Z,2022-06-19T19:11:56Z,298.7213ms,True
1,3,2022-06-19T19:11:56Z,2022-06-19T19:11:56Z,269.3059ms,True
1,5,2022-06-19T19:11:56Z,2022-06-19T19:11:56Z,277.8705ms,True
1,15,2022-06-19T19:11:56Z,2022-06-19T19:11:56Z,270.7166ms,True
1,13,2022-06-19T19:11:56Z,2022-06-19T19:11:57Z,280.5846ms,True
1,14,2022-06-19T19:11:57Z,2022-06-19T19:11:57Z,264.9751ms,True
1,8,2022-06-19T19:11:57Z,2022-06-19T19:11:57Z,255.4031ms,True
1,16,2022-06-19T19:11:57Z,2022-06-19T19:11:57Z,275.8229ms,True
1,6,2022-06-19T19:11:57Z,2022-06-19T19:11:58Z,280.3588ms,True
1,4,2022-06-19T19:11:58Z,2022-06-19T19:11:58Z,269.1332ms,True
1,2,2022-06-19T19:11:58Z,2022-06-19T19:11:58Z,272.4005ms,True
1,14,2022-06-19T19:11:58Z,2022-06-19T19:11:59Z,259.9845ms,True
1,1,2022-06-19T19:11:59Z,2022-06-19T19:11:59Z,266.0251ms,True
1,3,2022-06-19T19:11:59Z,2022-06-19T19:11:59Z,291.7284ms,True
1,5,2022-06-19T19:11:59Z,2022-06-19T19:11:59Z,278.1666ms,True
1,15,2022-06-19T19:11:59Z,2022-06-19T19:12:00Z,274.2238ms,True
1,13,2022-06-19T19:12:00Z,2022-06-19T19:12:00Z,264.3715ms,True
1,14,2022-06-19T19:12:00Z,2022-06-19T19:12:00Z,270.0125ms,True
1,8,2022-06-19T19:12:00Z,2022-06-19T19:12:00Z,256.7278ms,True
1,16,2022-06-19T19:12:00Z,2022-06-19T19:12:01Z,275.1342ms,True
1,6,2022-06-19T19:12:01Z,2022-06-19T19:12:01Z,260.7908ms,True
1,4,2022-06-19T19:12:01Z,2022-06-19T19:12:01Z,266.7049ms,True
1,2,2022-06-19T19:12:01Z,2022-06-19T19:12:01Z,260.8852ms,True
1,14,2022-06-19T19:12:01Z,2022-06-19T19:12:02Z,259.4545ms,True
1,1,2022-06-19T19:12:02Z,2022-06-19T19:12:02Z,264.3925ms,True
1,3,2022-06-19T19:12:02Z,2022-06-19T19:12:02Z,269.9267ms,True
1,5,2022-06-19T19:12:02Z,2022-06-19T19:12:03Z,267.0074ms,True
1,15,2022-06-19T19:12:03Z,2022-06-19T19:12:03Z,274.1713ms,True
1,13,2022-06-19T19:12:03Z,2022-06-19T19:12:03Z,278.408ms,True
1,14,2022-06-19T19:12:03Z,2022-06-19T19:12:03Z,261.7515ms,True
1,8,2022-06-19T19:12:03Z,2022-06-19T19:12:04Z,263.1815ms,True
